"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\login.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\process.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\settings.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\signup.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\verifications.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\disPage.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\document.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\example.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\example.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 0, 1, 83
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\index.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\info.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mainPage.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\CONTRIBUTING.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\README.md", "Markdown", 0, 281, 0, 0, 0, 0, 0, 0, 51, 332
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\bower.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\debug\simplemde.css", "CSS", 0, 0, 0, 0, 553, 0, 0, 31, 92, 676
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\debug\simplemde.debug.js", "JavaScript", 0, 0, 0, 13324, 0, 0, 0, 1710, 1990, 17024
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\debug\simplemde.js", "JavaScript", 0, 0, 0, 13324, 0, 0, 0, 1709, 1986, 17019
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\dist\simplemde.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\dist\simplemde.min.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 6, 0, 66
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\gulpfile.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 21, 11, 97
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\package.json", "JSON", 0, 0, 48, 0, 0, 0, 0, 0, 1, 49
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\src\css\simplemde.css", "CSS", 0, 0, 0, 0, 280, 0, 0, 0, 48, 328
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\src\js\codemirror\tablist.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 2, 8, 45
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\mde\src\js\simplemde.js", "JavaScript", 0, 0, 0, 1587, 0, 0, 0, 190, 251, 2028
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\reply.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\root.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.markdown-editor\settings.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\document.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\form.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\index.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\info.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\process.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 7, 2, 49
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\settings.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\setup.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 8, 3, 29
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.upload\structs.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\zh-cn\document.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\zh-cn\index.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\zh-cn\info.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\zh-cn\settings.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\reply.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 5, 5, 58
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\requirer.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\setup.php", "PHP", 172, 0, 0, 0, 0, 0, 0, 51, 12, 235
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\space.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\struct\cookie.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\struct\database\discusses.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\struct\database\tokens.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\struct\database\usergroups.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\struct\database\users.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\struct\permission.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 969, 494, 254, 28477, 844, 0, 18, 3778, 4554, 39388
